0.7255 | (30, 30) | 10 | (20, 20) | (1, 1) | L2 | rbf | ovr | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.7255 | (30, 30) | 10 | (20, 20) | (1, 1) | L2 | rbf | ovo | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.948 | (40, 40) | 8 | (10, 10) | (1, 1) | L1 | linear | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.948 | (40, 40) | 8 | (10, 10) | (1, 1) | L1 | linear | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.971 | (40, 40) | 8 | (10, 10) | (1, 1) | L1 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.971 | (40, 40) | 8 | (10, 10) | (1, 1) | L1 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.957 | (40, 40) | 8 | (10, 10) | (1, 1) | L2 | linear | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.957 | (40, 40) | 8 | (10, 10) | (1, 1) | L2 | linear | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.9785 | (40, 40) | 8 | (10, 10) | (1, 1) | L2 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.9785 | (40, 40) | 8 | (10, 10) | (1, 1) | L2 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.9555 | (40, 40) | 8 | (10, 10) | (2, 2) | L1 | linear | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.9555 | (40, 40) | 8 | (10, 10) | (2, 2) | L1 | linear | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.9785 | (40, 40) | 8 | (10, 10) | (2, 2) | L1 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.9785 | (40, 40) | 8 | (10, 10) | (2, 2) | L1 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=8.tiff
0.963 | (40, 40) | 8 | (10, 10) | (2, 2) | L2 | linear | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.963 | (40, 40) | 8 | (10, 10) | (2, 2) | L2 | linear | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.9815 | (40, 40) | 8 | (10, 10) | (2, 2) | L2 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.9815 | (40, 40) | 8 | (10, 10) | (2, 2) | L2 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=8.tiff
0.84 | (40, 40) | 8 | (20, 20) | (1, 1) | L1 | linear | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=8.tiff
0.84 | (40, 40) | 8 | (20, 20) | (1, 1) | L1 | linear | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=8.tiff
0.9135 | (40, 40) | 8 | (20, 20) | (1, 1) | L1 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=8.tiff
0.9135 | (40, 40) | 8 | (20, 20) | (1, 1) | L1 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=8.tiff
0.8675 | (40, 40) | 8 | (20, 20) | (1, 1) | L2 | linear | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=8.tiff
0.8675 | (40, 40) | 8 | (20, 20) | (1, 1) | L2 | linear | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=8.tiff
0.9145 | (40, 40) | 8 | (20, 20) | (1, 1) | L2 | rbf | ovr | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=8.tiff
0.9145 | (40, 40) | 8 | (20, 20) | (1, 1) | L2 | rbf | ovo | _feature_vectors_image-size=40*40_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=8.tiff
